Claim,Source Name,Source URL,Verdict,Review Publication Date,Image URL,Tags
"Casado com uma israelita e a viver em Israel, o realizador Quentin Tarantino também se refugiou num abrigo em Telavive hoje.",Observador,https://observador.pt/factchecks/fact-check-imagem-que-mostra-realizador-quentin-tarantino-em-abrigo-antibombas-em-israel-e-real/,Errado,2026-03-29 07:00:00,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcSPoSTekUtgc_77fQoKLZVgRXrfRC2VlIfGvKU-4cRTmZlv5x96,"['Quentin Tarantino', 'Israel', 'Diretor de cinema', 'Telavive']"
"SERÁ GHISLAINE MAXWELL?
Esta mulher foi filmada em Quebec, Canadá, e se parece com Ghislaine Maxwell; a teoria da conspiração afirma que ela foi secretamente libertada da prisão.",Observador,https://observador.pt/factchecks/fact-check-video-que-mostra-ghislaine-maxwell-a-andar-numa-rua-no-canada-e-real/,Errado,,,"['Ghislaine Maxwell', 'Canadá', 'Prisão', 'Teoria', 'Quebec', 'Conspiração', 'Teoria da conspiração']"
Pikachu no meio dos protestos em curso na Turquia. Isto é real.,Observador,https://observador.pt/factchecks/fact-check-imagem-de-um-pikachu-num-protesto-na-turquia-e-real/,Errado,2025-04-27 07:00:00,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcSPoSTekUtgc_77fQoKLZVgRXrfRC2VlIfGvKU-4cRTmZlv5x96,"['Protesto', 'Turquia', 'Pikachu']"
"Sim, até o Stephen Hawking. Vivemos num mundo selvagem.",Observador,https://observador.pt/factchecks/fact-check-fotografia-que-mostra-epstein-bill-gates-bill-e-hillary-clinton-jay-z-diddy-e-stephen-hawking-juntos-e-real/,Errado,,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcQOv_Mheo-5LPg4qYWWsymKcqVbeLWVUBH6sgQDSOE1unX2YU8W,"['Stephen Hawking', 'Mundo']"
Jovem faz birra no Brasil por causa de um Iphone,Observador,https://observador.pt/factchecks/fact-check-cena-dramatica-de-adolescente-por-causa-de-um-iphone-15-e-real/,Enganador,2024-06-26 07:00:00,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcTKpes4CDGPbzfzngy6GeYyOqunQP6FrPHFK5lGnIA2XmSbpTvC,"['iPhone', 'Brasil', 'Birra']"
"Imagem mostra estragos causados por inundação no Museu do Louvre, em França.",Observador,https://observador.pt/factchecks/fact-check-imagem-de-estragos-causados-por-inundacao-no-louvre-e-real/,Errado,2025-12-30 08:00:00,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcSPoSTekUtgc_77fQoKLZVgRXrfRC2VlIfGvKU-4cRTmZlv5x96,"['Museu do Louvre', 'Inundação', 'Museu', 'Imagem', 'França']"
Golpistas enviam formulário falso da Enel por correio para entrar na casa das pessoas,Estadão,https://www.estadao.com.br/estadao-verifica/audio-enel-formulario-golpe-da-luz-falso/,Falso,2025-03-17 07:00:00,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcQLaL3q7z4iirbodLpPY2ud36rj5WqApt9j0FHrCXYcTRYzXHx8,"['Enel Brasil', 'Correio']"
"""O povo não aguenta mais viver na miséria""",Observador,https://observador.pt/factchecks/fact-check-imagem-de-protesto-numa-avenida-da-venezuela-e-real/,Errado,2024-08-28 07:00:00,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcSPoSTekUtgc_77fQoKLZVgRXrfRC2VlIfGvKU-4cRTmZlv5x96,['O Povo']
"Ninguém se lembrou, mas…. Lula não pode morrer antes de 01 de janeiro de 2025, pois segundo a “antiga” constituição de 1988, se o presidente morre antes de completar 2 anos do seu governo é obrigatório convocar novas eleições.",Observador,https://observador.pt/factchecks/fact-check-imagem-de-lula-com-penso-a-envolver-a-cabeca-e-real/,Errado,2024-12-27 08:00:00,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcSPoSTekUtgc_77fQoKLZVgRXrfRC2VlIfGvKU-4cRTmZlv5x96,"['Luiz Inácio Lula da Silva', 'Presidente', 'Eleição', 'Janeiro', 'Constituição', '2025', 'Constituição brasileira de 1988', '1 de janeiro', 'Governo', 'Morte']"
"Lula está com o nome inscrito na Dívida Ativa da União com débitos que somam 1,3 milhão de reais. O Instituto Lula deve mais 18 milhões de reais. Lula também responde a dois processos na Justiça, movidos pela Procuradoria-Geral da Fazenda Nacional",Projeto Comprova,https://projetocomprova.com.br/publica%C3%A7%C3%B5es/divida-de-lula-com-a-uniao-e-real-mas-questionada-na-justica-apos-anulacao-de-processos-da-lava-jato/,"É VERDADE que tanto Lula quanto o Instituto Lula têm dívidas com a União. Nos dois casos, as cobranças, relacionadas à Lava Jato, estão sendo questionadas na Justiça.",2022-04-05 07:00:00,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTx8H1qvGSTb6EtlBmnz0J5QNOxMNWJk77hPbpwV2Jywx8P9x1E,"['Luiz Inácio Lula da Silva', 'Débito', 'Instituto Lula', 'Processo judicial', 'Justiça', 'Dívida Ativa da União', 'Procuradoria-Geral da Fazenda Nacional', '2018']"
