Claim,Source Name,Source URL,Verdict,Review Publication Date,Image URL,Tags
Irã captura soldado estadunidense,Estadão,https://www.estadao.com.br/estadao-verifica/video-nao-mostra-captura-de-soldado-americano-pelo-ira-e-sim-militares-da-libia-amparando-colega/,Falso,2026-04-09 19:35:13,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcSyRnjY7pKW7wPMgSENNZ70EAwQOgomku3cT6BMbp_o-FZHYoYf,"['Irã', 'Soldado', 'Povo dos Estados Unidos']"
Água rosa em Itu indica contaminação por metanol,Estadão,https://www.estadao.com.br/estadao-verifica/agua-rosa-metanol-itu-enganoso/,Enganoso,2025-10-03 07:00:00,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcQdsCtKkiaF9-vWhMJYOvoSCDBk1IHouxE9nfQZI29UeXBSUria,"['Metanol', 'Água', 'Itu', 'Cor-de-rosa']"
"Renato Barroso, apresentador de um canal no Youtube, afirma que não tem como fazer recontagem ou auditoria dos votos dessa eleição",Projeto Comprova,https://projetocomprova.com.br/publica%C3%A7%C3%B5es/e-possivel-sim-auditar-e-realizar-recontagem-dos-votos-ao-contrario-do-que-afirma-video/,"ENGANOSO: Ao contrário do que afirma youtuber, existem várias formas de auditar o processo eleitoral brasileiro, antes, durante e após o pleito e a recontagem de votos é prevista no Código Eleitoral",2020-11-20 08:00:00,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcTGTnqxIoERohnoHZsS845aQJCS6lngR8LFH086L79OvnQhwHCI,"['Votação', 'Eleição', 'Auditoria', 'Luís Roberto Barroso', 'Apresentador de televisão', 'YouTube']"
Uber carrega cadáver porque família não quis pagar funerária,Estadão,https://www.estadao.com.br/estadao-verifica/uber-transporta-cadaver-enganoso/,Falso,2025-06-03 07:00:00,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcTEozXwIc4C0anMIojUzuLgWXz07-NLoTZsTnaHvEooxFX3nZMt,"['Cadáver', 'Uber', 'Funerária']"
Vídeo mostra chegada das tropas dos EUA na Venezuela,Estadão,https://www.estadao.com.br/estadao-verifica/tropas-eua-venezuela-protesto-florida/,Enganoso,2025-08-21 07:00:00,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS8jIugVZ9gvcu9WCtvayjWbguL7wqK3keO0KT8zrksy0OvEyFA,"['Venezuela', 'Estados Unidos', 'Tropa', 'Vídeo']"
Imprensa inventou que Freire Gomes confirmou a existência da “minuta do golpe”,Aos Fatos,https://www.aosfatos.org/noticias/freire-gomes-confirmou-sim-ao-stf-a-existencia-da-minuta-do-golpe/,falso,2025-05-21 07:00:00,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcRxvy9gbjanhvrfmTcu27HEnjpeWRBi2XEPxfRwKqOfbNZ5CQaS,"['Freire Gomes', 'Golpe de Estado', 'minuta', 'Existência', 'Imprensa']"
"Interpol rejeitou pedido de prisão internacional da deputada federal Carla Zambelli, expondo os abusos de autoridade do ministro Alexandre de Moraes",Estadão,https://www.estadao.com.br/estadao-verifica/interpol-carla-zambelli-lista-de-procurados/,Enganoso,2025-06-06 07:00:00,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcSNi3Th3xLomEVvfZ1iP6ou6zuEahAutlVWIUYBvhnV5T0EMDuY,"['Carla Zambelli', 'Interpol', 'Deputado', 'Alexandre de Moraes', 'Deputado Federal do Brasil', 'Prisão', 'Ministro', 'Abuso', 'Abuso de poder', 'Autoridade']"
Interpol rejeita pedido de inclusão de Carla Zambelli na lista de procurados,Aos Fatos,https://www.aosfatos.org/noticias/interpol-incluiu-sim-carla-zambelli-na-lista-de-procurados-internacionais/,falso,2025-06-06 07:00:00,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcQ6cjC5xWUshKHdEstRzOYIhcJolbcKwZPKcrOJwDKHs1AkApF4,"['Carla Zambelli', 'Interpol']"
"Na Dinamarca, pessoas recebem ajuda social são impedidas de votar",Estadão,https://www.estadao.com.br/estadao-verifica/quem-recebe-assistencia-social-na-dinamarca-pode-sim-votar-nas-eleicoes/,Enganoso,2023-12-05 08:00:00,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS1kXI-AuUgQ5YbkJxl6o7UHR1Hr4_QUAVB_ST-aG_wCH3PxIYE,"['Dinamarca', 'Votação']"
Até hoje não se sabe o que tinha no celular de Adélio Bispo,Aos Fatos,https://www.aosfatos.org/noticias/celular-de-adelio-bispo-foi-sim-investigado-ao-contrario-do-que-sugerem-posts/,falso,2025-08-22 07:00:00,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcSYkJl2F5F8fGMejPeozQlDO6a8DKDz--0HRu4e_qoj6HoaewVv,"['Adélio Bispo', 'Telefone celular']"
