Claim,Source Name,Source URL,Verdict,Review Publication Date,Image URL,Tags
Apuração secreta é fraude,Projeto Comprova,https://projetocomprova.com.br/publica%C3%A7%C3%B5es/apuracao-da-eleicao-brasileira-e-aberta-a-qualquer-pessoa-ao-contrario-do-que-afirma-post/,"FALSO: Post sugere que apuração das eleições municipais deste ano foi secreta e que isso configura fraude, mas o processo é aberto e qualquer cidadão tem acesso aos resultados das seções eleitorais",2020-11-18 08:00:00,,['Fraude']
"Dilma Rousseff, Lula e Guilherme Boulos ultrapassaram adversários às 18h45",Estadão,https://www.estadao.com.br/estadao-verifica/dilma-lula-e-boulos-ultrapassaram-adversarios-18h45-falso/,Falso,2024-10-08 07:00:00,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTdl6SJlAlbKGGalsgNgd02pCatra5JpZYDMdYkKfiveYD-vM0x,"['Dilma Rousseff', 'Luiz Inácio Lula da Silva', 'Guilherme Boulos']"
"Com 97,63% das urnas apuradas, Bolsonaro estava com 55,38% dos votos, enquanto Lula tinha somente 35,80%",Estadão,https://www.estadao.com.br/estadao-verifica/bolsonaro-55-lula-35-fraude-eleitoral-enganoso/,Enganoso,2024-10-05 07:00:00,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcQ9w-VLrlKt84T1PJZwJpo1SrmowB9YrG7EH99cP7UjStN8WNHy,"['Jair Bolsonaro', 'Votação', 'Luiz Inácio Lula da Silva', 'Urna eleitoral', '1963', '1955']"
Nunca esquecemos dessa tela. 1 minuto depois lula 46 vs 45 jair bolsonaro,UOL Notícias,https://noticias.uol.com.br/confere/ultimas-noticias/2024/10/06/video-mostra-apuracao-presidencial-parana.htm,Distorcido,2024-10-06 07:00:00,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcTLtaPrAO3rKKAWAr-HpLcZVufQre5L6XE7lYa5T0PQEdWGtYQh,"['Jair Bolsonaro', 'Luiz Inácio Lula da Silva', '1945']"
Apuração foi baseada em portal de notícias,UOL Notícias,https://noticias.uol.com.br/comprova/ultimas-noticias/2020/11/24/e-falso-que-o-tse-atualizou-apuracao-da-votacao-baseado-em-site-de-noticias.htm,Falso,2020-11-24 08:00:00,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcR-Aa6Pab3rTZ1_NZE0n6BPvGGa75u3OJaX7uvzQxj2OYrfuzsN,"['Notícia', 'Portal']"
Intervenção do Exército na sala secreta do TSE impediu fraude que daria vitória a Lula no 1º turno,Projeto Comprova,https://projetocomprova.com.br/publica%C3%A7%C3%B5es/exercito-nao-interferiu-na-apuracao-dos-votos-para-presidente-no-dia-da-eleicao-ao-contrario-do-que-diz-video/,Falso,2022-10-06 07:00:00,,"['Exército', 'Tribunal Superior Eleitoral', 'Luiz Inácio Lula da Silva', 'Fraude']"
Fraude desmacaradamente nas eleições em São Paulo,Projeto Comprova,https://projetocomprova.com.br/publica%C3%A7%C3%B5es/votacao-estavel-ao-longo-da-apuracao-nao-indica-fraude-em-sao-paulo/,"ENGANOSO: As porcentagens de votos válidos para cada candidato permaneceram estáveis durante a apuração porque não houve grande variação nos votos de cada zona eleitoral, como mostra a apuração do Comprova",2020-11-17 08:00:00,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcQpXiIKlcXTqZAzIopSI3kPpYqgjH8zzk8WOByK6hm9f4GrZJ2Y,"['Eleição', 'Fraude', 'São Paulo']"
T5E (TSE) divulgou que vai apurar os votos no Nordeste POR ÚLTIMO,UOL Notícias,https://noticias.uol.com.br/confere/ultimas-noticias/2022/10/30/tse-nao-disse-que-apuracao-terminara-no-nordeste-ordem-independe-de-estado.htm,Falso,2022-10-30 07:00:00,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcQsyOIHXXs7yRK8lP4rl93zB3m-QX97qxgqNVZ3GW9KjttrLwDr,"['Tribunal Superior Eleitoral', 'Região Nordeste do Brasil', 'Votação']"
Estados americanos paralisaram contagem de votos de forma ilegal.,Aos Fatos,https://www.aosfatos.org/noticias/e-falso-que-estados-americanos-paralisaram-ilegalmente-apuracao-de-votos-das-eleicoes/,falso,2020-11-04 08:00:00,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcR6ndLTaTS_JCG9A1a1XkB-gp7JCrLsrksR5c8zs7d-ZC81EG6e,"['Votação', 'Estados Unidos', 'Estados dos Estados Unidos']"
Comparação entre gráficos de apuração no Brasil e nos EUA prova fraude,AFP Checamos,https://checamos.afp.com/doc.afp.com.32MU2P6,Falso,2022-11-04 07:00:00,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcSnNWraNpl8A9e9ieRKYIoNK2YI_iuPiaHlao-kS7ShDe_S9cZ5,"['Estados Unidos', 'Brasil', 'Fraude', 'Gráfico']"
